model_type,encoder_type,split_column,seed,best_epoch,tuned_threshold,n_train,n_val,n_test,val_accuracy,val_balanced_accuracy,val_macro_f1,val_confusion_matrix,val_auroc,val_auprc,val_loss,test_accuracy,test_balanced_accuracy,test_macro_f1,test_confusion_matrix,test_auroc,test_auprc,test_loss,checkpoint
crossattn,chiral_gine,split_pair_group,0,100,0.58,1084,239,238,0.9246861924686192,0.9207909854175872,0.9207909854175872,"[[84, 9], [9, 137]]",0.9730446310207688,0.9817592543484353,0.3144972104906537,0.9327731092436976,0.9318515258215962,0.930394092271697,"[[89, 7], [9, 133]]",0.9712441314553992,0.977634770559305,0.2988808691000738,checkpoints/chiral_gine_crossattn_split_pair_group_seed0.pt
crossattn,chiral_gine,split_pair_group,1,130,0.4649999999999999,1084,239,238,0.9414225941422594,0.9383929886581236,0.9383929886581236,"[[86, 7], [7, 139]]",0.9771689497716896,0.9865105499051632,0.2832913024654947,0.953781512605042,0.9494571596244132,0.9517357078332688,"[[89, 7], [4, 138]]",0.9768926056338028,0.9737426208312864,0.2299988975419717,checkpoints/chiral_gine_crossattn_split_pair_group_seed1.pt
crossattn,chiral_gine,split_pair_group,2,23,0.4799999999999999,1084,239,238,0.8702928870292888,0.8684636912652821,0.864841198898152,"[[80, 13], [18, 128]]",0.9246575342465754,0.948466831799902,0.4097082096163698,0.8277310924369747,0.8286384976525822,0.8234644957033017,"[[80, 16], [25, 117]]",0.929137323943662,0.9478235326256932,0.3986259137882906,checkpoints/chiral_gine_crossattn_split_pair_group_seed2.pt
crossattn,chiral_gine,split_pair_group,2,27,0.4699999999999999,1084,239,238,0.8744769874476988,0.8699366622477538,0.8684886280264124,"[[79, 14], [16, 130]]",0.9240683458535867,0.9462381984234615,0.4554653292420519,0.8613445378151261,0.8551203051643192,0.8557178286029209,"[[79, 17], [16, 126]]",0.9344923708920188,0.9462597716830115,0.4147432313746765,checkpoints/chiral_gine_crossattn_split_pair_group_seed2.pt
