model_type,local_output_mode,encoder_type,split_column,seed,run_id,deterministic,training_defaults,dropout,perm_cat_dropout,perm_cat_normalization,perm_cat_lr_scale,lr,weight_decay,gradient_clip,warmup_epochs,lr_scheduler,patience,best_epoch,tuned_threshold,n_train,n_val,n_test,val_accuracy,val_balanced_accuracy,val_macro_f1,val_confusion_matrix,val_auroc,val_auprc,val_loss,test_accuracy,test_balanced_accuracy,test_macro_f1,test_confusion_matrix,test_auroc,test_auprc,test_loss,checkpoint
crossattn_tri,l3,chiral_gine,split_pair_group,0,tri_v1,True,chiral_stable_v1,0.2,0.1,reference,0.5,0.0003,0.0001,2.0,10,cosine,40,145,0.8049999999999999,1084,239,238,0.9330543933054394,0.93544704669318,0.9303613053613052,"[[88, 5], [11, 135]]",0.9740020621593756,0.975877735669678,0.2913590844206231,0.9369747899159664,0.9387470657276996,0.9350472135800448,"[[91, 5], [10, 132]]",0.9794600938967136,0.979457383170262,0.2575961509797753,checkpoints/tri_v1/chiral_gine_crossattn_tri_l3_split_pair_group_seed0_tri_v1.pt
crossattn_tri,l3,chiral_gine,split_pair_group,1,tri_v1,True,chiral_stable_v1,0.2,0.1,reference,0.5,0.0003,0.0001,2.0,10,cosine,40,108,0.8599999999999999,1084,239,238,0.9330543933054394,0.941302106348505,0.9310245310245312,"[[91, 2], [14, 132]]",0.980998674326116,0.9799749561212728,0.230334293892194,0.9369747899159664,0.9370598591549296,0.9348480700793868,"[[90, 6], [9, 133]]",0.9649354460093896,0.9561774814391564,0.2763909067676848,checkpoints/tri_v1/chiral_gine_crossattn_tri_l3_split_pair_group_seed1_tri_v1.pt
crossattn_tri,l3,chiral_gine,split_pair_group,2,tri_v1,True,chiral_stable_v1,0.2,0.1,reference,0.5,0.0003,0.0001,2.0,10,cosine,40,142,0.5549999999999999,1084,239,238,0.9497907949790795,0.9471939902783915,0.9471939902783915,"[[87, 6], [6, 140]]",0.9851229930770363,0.9913695933759571,0.23986846146224433,0.9495798319327731,0.9459360328638498,0.947442031652558,"[[89, 7], [5, 137]]",0.963981807511737,0.9488954565461862,0.2543895284668738,checkpoints/tri_v1/chiral_gine_crossattn_tri_l3_split_pair_group_seed2_tri_v1.pt
