dimension,group,n,errors,accuracy,mean_beta_score,balanced_accuracy,macro_f1
overall,all,238,15,0.9369747899159664,0.5940847097504972,0.9353726525821596,0.9346381295886046
label,Alpha,96,7,0.9270833333333334,0.10347782169384183,,
label,Beta,142,8,0.9436619718309859,0.9257626059014753,,
donor_type,thioglycoside,158,11,0.930379746835443,0.5689229002159173,0.9284318514899853,0.9291277576152999
donor_type,trichloroacetimidate,69,4,0.9420289855072463,0.6493576636531161,0.9456521739130435,0.9361111111111111
donor_type,trifluoroacetimidate,11,0,1.0,0.6087876267671217,1.0,1.0
seed_agreement,unanimous,225,7,0.9688888888888889,0.5889505898091786,0.9671309872922776,0.9678735339112698
seed_agreement,disagreement,13,8,0.38461538461538464,0.6829444779656254,0.25,0.2777777777777778
