baseline_model,feature_set,n,main_accuracy,baseline_accuracy,main_correct_baseline_wrong,main_wrong_baseline_correct,mcnemar_exact_p
logistic_regression,condition_only,238,0.9369747899159664,0.6932773109243697,65,7,6.9644370929921e-13
logistic_regression,structure_condition,238,0.9369747899159664,0.9033613445378151,15,7,0.13380050659179688
random_forest,condition_only,238,0.9369747899159664,0.7436974789915967,52,6,3.1581898207733166e-10
random_forest,structure_condition,238,0.9369747899159664,0.865546218487395,20,3,0.00048828125
xgboost,condition_only,238,0.9369747899159664,0.6890756302521008,65,6,1.3321308760808536e-13
xgboost,structure_condition,238,0.9369747899159664,0.8613445378151261,22,4,0.0005335211753845215
