model_name,feature_set,split_name,accuracy,balanced_accuracy,macro_f1,auroc,auprc,threshold,tn,fp,fn,tp,n_train,n_val,n_test
random_forest,condition_only,split_pair_group,0.7436974789915967,0.7278462441314555,0.7303241385715613,0.8210460680751174,0.8734775371007517,0.4899999999999999,62,34,27,115,1084,239,238
xgboost,condition_only,split_pair_group,0.6890756302521008,0.697256455399061,0.6863960113960115,0.7986355633802816,0.84566115014734,0.5149999999999999,71,25,49,93,1084,239,238
logistic_regression,condition_only,split_pair_group,0.6932773109243697,0.682218309859155,0.6819055639978762,0.744681631455399,0.8086871769100072,0.4849999999999999,60,36,37,105,1084,239,238
logistic_regression,structure_condition,split_pair_group,0.9033613445378152,0.9021420187793427,0.9001003741217264,0.9639084507042254,0.9769565023429744,0.615,86,10,13,129,1084,239,238
xgboost,structure_condition,split_pair_group,0.8613445378151261,0.8686179577464789,0.8589515651096384,0.9599471830985916,0.9744024316774824,0.615,87,9,24,118,1084,239,238
random_forest,structure_condition,split_pair_group,0.865546218487395,0.8603286384976526,0.8603286384976526,0.9483568075117372,0.9691684473576452,0.4649999999999999,80,16,16,126,1084,239,238
