ID,Reaction_ID,donor_mol_wt,donor_heavy_atom_count,donor_hetero_atom_count,donor_h_bond_acceptors,donor_h_bond_donors,donor_tpsa,donor_mol_log_p,donor_fraction_csp3,donor_rotatable_bond_count,donor_ring_count,donor_aliphatic_ring_count,donor_aromatic_ring_count,donor_specified_stereo_centers,donor_unspecified_stereo_centers,donor_oxygen_count,donor_nitrogen_count,donor_sulfur_count,donor_silicon_count,donor_halogen_count,acceptor_mol_wt,acceptor_heavy_atom_count,acceptor_hetero_atom_count,acceptor_h_bond_acceptors,acceptor_h_bond_donors,acceptor_tpsa,acceptor_mol_log_p,acceptor_fraction_csp3,acceptor_rotatable_bond_count,acceptor_ring_count,acceptor_aliphatic_ring_count,acceptor_aromatic_ring_count,acceptor_specified_stereo_centers,acceptor_unspecified_stereo_centers,acceptor_oxygen_count,acceptor_nitrogen_count,acceptor_sulfur_count,acceptor_silicon_count,acceptor_halogen_count
1296,31-614-CAS-38186264,450.553,31.0,8.0,8.0,0.0,80.29,3.4308,0.5652174,10.0,3.0,2.0,1.0,6.0,0.0,7.0,0.0,1.0,0.0,0.0,579.649,43.0,8.0,7.0,1.0,94.53,4.756,0.25714287,11.0,6.0,2.0,4.0,5.0,0.0,7.0,1.0,0.0,0.0,0.0
1297,31-013-CAS-10911479,500.613,35.0,8.0,8.0,0.0,80.29,4.445,0.4814815,10.0,4.0,2.0,2.0,6.0,0.0,7.0,0.0,1.0,0.0,0.0,565.622,42.0,8.0,7.0,1.0,94.53,4.6182,0.23529412,10.0,6.0,2.0,4.0,5.0,0.0,7.0,1.0,0.0,0.0,0.0
1298,31-013-CAS-13457439,454.497,31.0,10.0,10.0,0.0,114.43,2.17022,0.52380955,7.0,2.0,1.0,1.0,5.0,0.0,9.0,0.0,1.0,0.0,0.0,600.672,44.0,11.0,8.0,1.0,143.29,5.0364,0.3939394,15.0,5.0,2.0,3.0,5.0,0.0,7.0,4.0,0.0,0.0,0.0
1299,31-013-CAS-21608786,605.877,42.0,9.0,6.0,0.0,85.68,8.68352,0.45454547,12.0,4.0,1.0,3.0,5.0,0.0,4.0,3.0,1.0,1.0,0.0,595.717,43.0,8.0,7.0,1.0,85.3,5.63992,0.25714287,10.0,6.0,2.0,4.0,5.0,0.0,6.0,1.0,1.0,0.0,0.0
1300,31-301-CAS-3348443,606.74,44.0,7.0,6.0,0.0,63.22,6.9573,0.24324325,9.0,7.0,2.0,5.0,6.0,1.0,6.0,0.0,1.0,0.0,0.0,603.788,43.0,9.0,7.0,1.0,94.53,5.561,0.4117647,10.0,5.0,2.0,3.0,5.0,0.0,7.0,1.0,0.0,1.0,0.0
1301,31-013-CAS-7147519,1632.961,118.0,23.0,21.0,1.0,235.83,14.3073,0.31578946,32.0,14.0,4.0,10.0,15.0,0.0,20.0,1.0,1.0,1.0,0.0,1682.136,122.0,23.0,18.0,2.0,244.38,14.9764,0.35353535,35.0,14.0,4.0,10.0,15.0,0.0,17.0,4.0,0.0,2.0,0.0
1302,31-013-CAS-21359712,1016.135,73.0,18.0,16.0,0.0,209.34,9.20882,0.34545454,24.0,7.0,2.0,5.0,10.0,0.0,14.0,3.0,1.0,0.0,0.0,553.568,40.0,12.0,10.0,2.0,143.94,1.0535,0.35714287,9.0,4.0,2.0,2.0,5.0,0.0,9.0,3.0,0.0,0.0,0.0
1303,31-013-CAS-6321258,1016.135,73.0,18.0,16.0,0.0,209.34,9.20882,0.34545454,24.0,7.0,2.0,5.0,10.0,0.0,14.0,3.0,1.0,0.0,0.0,553.568,40.0,12.0,10.0,2.0,143.94,1.0535,0.35714287,9.0,4.0,2.0,2.0,5.0,0.0,9.0,3.0,0.0,0.0,0.0
1304,31-013-CAS-17453658,603.693,43.0,10.0,9.0,0.0,100.6,4.7605,0.36363637,9.0,6.0,3.0,3.0,7.0,0.0,8.0,1.0,1.0,0.0,0.0,455.463,33.0,9.0,8.0,1.0,111.6,1.5319,0.375,7.0,4.0,2.0,2.0,5.0,0.0,8.0,1.0,0.0,0.0,0.0
1305,31-013-CAS-3967489,440.47,30.0,10.0,10.0,0.0,114.43,1.8618,0.5,7.0,2.0,1.0,1.0,5.0,0.0,9.0,0.0,1.0,0.0,0.0,757.698,54.0,18.0,17.0,1.0,226.03,0.7087,0.4722222,12.0,5.0,3.0,2.0,10.0,0.0,17.0,1.0,0.0,0.0,0.0
