Structural_Group_ID,Structural_Group_SHA256,Representative_Parent_ID,Representative_Reaction_ID,All_Parent_IDs,All_Parent_Reaction_IDs,Duplicate_Count,Donor_Canonical_SMILES,Original_Acceptor_Canonical_SMILES,O4_Acetylated_Acceptor_Canonical_SMILES,Donor_Type,Original_Target_C4_Index,Original_Target_O4_Index,Generated_Target_C4_Index,Generated_Target_O4_Index
SG-3b375e7165629716,3b375e716562971665c6f52f529f97c3a1e9d1f3315336fe2457aac07a20bdc3,1530,31-614-CAS-41884465,1530;1531,31-614-CAS-41884465;31-614-CAS-37959633,2,COC(=O)[C@@H]1O[C@@H](Sc2ccccc2)[C@H](OC(=O)CCC(C)=O)[C@@H](OCc2ccccc2)[C@@H]1O[C@H]1O[C@H](CO[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)[C@@H](OC(=O)c2ccccc2)[C@H](OCc2ccccc2)[C@H]1N=[N+]=[N-],COC(=O)[C@@H]1O[C@@H](OCCCCCN(Cc2ccccc2)C(=O)OCc2ccc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)[C@H](OC(=O)c2ccccc2)[C@@H](OCc2ccccc2)[C@@H]1O[C@H]1O[C@H](COCc2ccc3ccccc3c2)[C@@H](O)[C@H](OCc2ccccc2)[C@H]1NC(=O)C(F)(F)F,COC(=O)[C@@H]1O[C@@H](OCCCCCN(Cc2ccccc2)C(=O)OCc2ccc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)[C@H](OC(=O)c2ccccc2)[C@@H](OCc2ccccc2)[C@@H]1O[C@H]1O[C@H](COCc2ccc3ccccc3c2)[C@@H](OC(C)=O)[C@H](OCc2ccccc2)[C@H]1NC(=O)C(F)(F)F,thioglycoside,89,90,89,90
SG-3b636005ec93303e,3b636005ec93303ed8b8fc2abe671bf54f7b1ddbc0597e562f76fac765b602c1,1024,31-013-CAS-12877153,1024;1025;1026,31-013-CAS-12877153;31-013-CAS-7511274;31-013-CAS-854940,3,C[C@@H]1O[C@@H](Sc2ccccc2)[C@@H]2OC(=O)O[C@@H]2[C@H]1OC(=O)c1ccccc1,CO[C@H]1O[C@H](COCc2ccccc2)[C@@H](O)[C@@H]2OC(=O)N(C(C)=O)[C@@H]12,CO[C@H]1O[C@H](COCc2ccccc2)[C@@H](OC(C)=O)[C@@H]2OC(=O)N(C(C)=O)[C@@H]12,thioglycoside,14,15,14,15
SG-3b6d73bb496b73cd,3b6d73bb496b73cd6ce5a6c952aa5a4c2c357c25e13f9015eb994aa74dc75d1a,282,31-010-CAS-9129880,282,31-010-CAS-9129880,1,CC(=O)OC[C@H]1O[C@H](OC(=N)C(Cl)(Cl)Cl)[C@H](NC(=O)OCc2ccccc2)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,CC(=O)O[C@@H]1[C@@H](NC(=O)OCc2ccccc2)[C@H](O)O[C@H](COCc2ccccc2)[C@H]1O[C@@H]1O[C@H](COCc2ccccc2)[C@@H](O[C@@H]2O[C@H](COCc3ccccc3)[C@@H](O)[C@H](OC(C)=O)[C@H]2NC(=O)OCc2ccccc2)[C@H](OC(C)=O)[C@H]1NC(=O)OCc1ccccc1,CC(=O)O[C@@H]1[C@@H](NC(=O)OCc2ccccc2)[C@H](O)O[C@H](COCc2ccccc2)[C@H]1O[C@@H]1O[C@H](COCc2ccccc2)[C@@H](O[C@@H]2O[C@H](COCc3ccccc3)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]2NC(=O)OCc2ccccc2)[C@H](OC(C)=O)[C@H]1NC(=O)OCc1ccccc1,trichloroacetimidate,58,59,58,59
SG-3b7c7cc45b2d9bbe,3b7c7cc45b2d9bbe9ccc79114180a5627f1ca25b741b58e399cf63fe78191d05,965,31-013-CAS-1901337,965;966,31-013-CAS-1901337;31-013-CAS-1216240,2,C[C@@H]1O[C@H](Sc2ccccc2)[C@@H](OCc2ccccc2)[C@H](OCc2ccccc2)[C@@H]1OCc1ccccc1,CC(=O)N[C@@H]1[C@@H](OC(=O)c2ccccc2)[C@H](O)[C@@H](COC(=O)c2ccccc2)O[C@H]1N=[N+]=[N-],CC(=O)N[C@@H]1[C@@H](OC(=O)c2ccccc2)[C@H](OC(C)=O)[C@@H](COC(=O)c2ccccc2)O[C@H]1N=[N+]=[N-],thioglycoside,15,16,15,16
SG-3b8073647e22ad95,3b8073647e22ad95860d28099d24f98be2bb8e240215cf9cbbebfe88d54afab1,147,31-010-CAS-16717556,147,31-010-CAS-16717556,1,CC(=O)OC[C@H]1O[C@H](OC(=N)C(Cl)(Cl)Cl)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]1OC(C)=O,CCCCCCCCCCCCS[C@@H]1O[C@H](CO[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)[C@@H](O)[C@H](OCc2ccccc2)[C@H]1N1C(=O)c2ccccc2C1=O,CCCCCCCCCCCCS[C@@H]1O[C@H](CO[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)[C@@H](OC(C)=O)[C@H](OCc2ccccc2)[C@H]1N1C(=O)c2ccccc2C1=O,trichloroacetimidate,35,36,35,36
SG-3bcddfec0099387f,3bcddfec0099387ff4936d59f6cd911751786b2fb4c22ce1edd9796e5ffcf692,1189,31-013-CAS-7955565,1189;1190;1191,31-013-CAS-7955565;31-013-CAS-16646504;31-614-CAS-24371495,3,CCS[C@@H]1O[C@H](COCc2ccccc2)[C@@H](OC(C)=O)[C@H](OCc2ccccc2)[C@H]1N1C(=O)c2ccccc2C1=O,O=C1c2ccccc2C(=O)N1[C@H]1[C@H](OCc2ccccc2)O[C@H](COCc2ccccc2)[C@@H](O)[C@@H]1OCc1ccccc1,CC(=O)O[C@H]1[C@H](OCc2ccccc2)[C@@H](N2C(=O)c3ccccc3C2=O)[C@H](OCc2ccccc2)O[C@@H]1COCc1ccccc1,thioglycoside,32,33,4,3
SG-3c6d74f7efd2b973,3c6d74f7efd2b9737dc61e59c89bd1eaf94cf069259438fba68a12e44eda1092,693,31-013-CAS-15220844,693,31-013-CAS-15220844,1,CCS[C@@H]1O[C@@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OCc2ccccc2)[C@H]1OC(=O)c1ccccc1,[N-]=[N+]=N[C@H]1[C@@H]2OC[C@@H](O2)[C@@H](O)[C@@H]1OCc1ccccc1,CC(=O)O[C@H]1[C@H](OCc2ccccc2)[C@@H](N=[N+]=[N-])[C@@H]2OC[C@H]1O2,thioglycoside,9,10,4,3
SG-3cb625f40925bca4,3cb625f40925bca4951d4a38ce8e036a434db0b74230676319c3c29fb92d8cdd,993,31-013-CAS-10963089,993,31-013-CAS-10963089,1,CCS[C@H]1O[C@@H](C)[C@@H](OC(=O)c2ccccc2)[C@@H](O)[C@@H]1O[Si](C(C)C)(C(C)C)C(C)C,CC(C)(C)[Si](OC[C@H]1O[C@@H](Oc2ccc(OCCCl)cc2)[C@H](NC(=O)C(F)(F)F)[C@@H](OC(=O)CCl)[C@@H]1O)(c1ccccc1)c1ccccc1,CC(=O)O[C@H]1[C@H](OC(=O)CCl)[C@@H](NC(=O)C(F)(F)F)[C@H](Oc2ccc(OCCCl)cc2)O[C@@H]1CO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C,thioglycoside,35,36,4,3
SG-3cee0629d1e4c14d,3cee0629d1e4c14de8320db46cf098cb5e944fe3b75b58823b86845d10d537c6,303,31-010-CAS-10174514,303,31-010-CAS-10174514,1,CC(=O)CCC(=O)O[C@@H]1[C@@H](OC(=N)C(Cl)(Cl)Cl)O[C@H](C)[C@@H](NC(=O)[C@@H](CCOC(C)=O)OC(C)=O)[C@@H]1OCc1ccccc1,CC(=O)OCC[C@@H](OC(C)=O)C(=O)N[C@H]1[C@H](OCc2ccccc2)[C@H](O)[C@@H](OC(C)=O)O[C@@H]1C,CC(=O)OCC[C@@H](OC(C)=O)C(=O)N[C@H]1[C@H](OCc2ccccc2)[C@H](OC(C)=O)[C@@H](OC(C)=O)O[C@@H]1C,trichloroacetimidate,24,25,24,25
SG-3d154170999d210a,3d154170999d210a7a918141a9df2c6ab318e5ae64ae7d08692f6941a69faae4,791,31-013-CAS-8631144,791;792;793,31-013-CAS-8631144;31-013-CAS-5891655;31-013-CAS-13476910,3,CCS[C@@H]1O[C@@H]2CO[C@@H](c3ccccc3)O[C@H]2[C@H](OCc2ccccc2)[C@H]1OC(=O)CCC(C)=O,CC(=O)OC[C@H]1O[C@@H](O[Si](C)(C)C(C)(C)C(C)C)[C@H](N=[N+]=[N-])[C@@H](OCc2ccccc2)[C@@H]1O,CC(=O)OC[C@H]1O[C@@H](O[Si](C)(C)C(C)(C)C(C)C)[C@H](N=[N+]=[N-])[C@@H](OCc2ccccc2)[C@@H]1OC(C)=O,thioglycoside,31,32,31,32
