Template_ID,Donor_Type,Solvent,Solvent_Component_IDs,Catalyst,Catalyst_Component_IDs,Temp_C,Time_min,has_solvent,has_catalyst,has_temp,has_time,Template_Support_Count,Alpha_Success_Count,Beta_Success_Count,Representative_Reaction_ID,Supporting_Reaction_IDs,Supporting_Sources,Condition_Recipe_Completeness,Unique_Full_Reaction_Count
CT_1804847e2c845fa6,trichloroacetimidate,Diethyl ether;Toluene,4;5,Trimethylsilyl triflate,3,0.0,30.0,1,1,1,1,1,1,0,31-614-CAS-24415800,31-614-CAS-24415800,"Organic Letters (2021), 23(17), 6841-6845",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_1b05956c4ab602fa,trichloroacetimidate,Dichloromethane,3,Triethylamine,4,-60.0,120.0,1,1,1,1,1,0,1,31-010-CAS-18971959,31-010-CAS-18971959,"Organic Letters (2018), 20(13), 3862-3865",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_1ddc08b28f48f67f,trichloroacetimidate,Acetonitrile;Dichloromethane,3;6,Boron trifluoride etherate,7,-41.0,40.0,1,1,1,1,1,0,1,31-010-CAS-6786085,31-010-CAS-6786085,"Proceedings of the National Academy of Sciences of the United States of America (2009), 106(1), 18-23",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_1e16ffcd7bd31cce,trichloroacetimidate,Cyclohexane;Dichloromethane,3;16,Triethylamine,4,25.0,120.0,1,1,1,1,1,0,1,31-010-CAS-6294357,31-010-CAS-6294357,"Journal of Organic Chemistry (2004), 69(6), 2137-2146",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_1eb2dd23ed5616d4,trichloroacetimidate,Dichloromethane,3,Boron trifluoride etherate,7,-40.0,120.0,1,1,1,1,1,0,1,31-010-CAS-16546348,31-010-CAS-16546348,"Chemical Science (2011), 2(10), 1952-1959",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_200f1d7148b9b59f,trichloroacetimidate,Dichloromethane;Trichloroacetonitrile,3;19,Triethylamine,4,-78.0,960.0,1,1,1,1,1,1,0,31-010-CAS-10954471,31-010-CAS-10954471,"United States, US20060079483 A1 2006-04-13",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_236f80d7d9e29aa0,trichloroacetimidate,Dichloromethane,3,Trimethylsilyl triflate,3,25.0,2520.0,1,1,1,1,1,0,1,31-010-CAS-20254379,31-010-CAS-20254379,"Cell (Cambridge, MA, United States) (2018), 175(4), 1045-1058.e16",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_2386f7100f58a63d,trichloroacetimidate,Dichloromethane,3,Trifluoromethanesulfonic acid,6,-40.0,20.0,1,1,1,1,1,0,1,31-010-CAS-19309609,31-010-CAS-19309609,"Chemistry - A European Journal (2018), 24(31), 7970-7975",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_250813e38b4fa44e,trichloroacetimidate,Dichloromethane,3,Triethylamine,4,-25.0,90.0,1,1,1,1,1,1,0,31-010-CAS-7245483,31-010-CAS-7245483,"Journal of Organic Chemistry (2004), 69(12), 4081-4093",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_266b49e0668edb1e,trichloroacetimidate,Dichloromethane,3,Boron trifluoride etherate,7,-20.0,300.0,1,1,1,1,1,0,1,31-010-CAS-4207332,31-010-CAS-4207332,"Carbohydrate Research (2004), 339(17), 2769-2788",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_2689c830dab5e41f,trichloroacetimidate,Dichloromethane,3,Triethylamine,4,-25.0,60.0,1,1,1,1,1,1,0,31-010-CAS-10687263,31-010-CAS-10687263,"Chemistry - A European Journal (2006), 12(34), 8664-8686",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_2a1e27ad98685e13,trichloroacetimidate,Dichloromethane,3,Trimethylsilyl triflate,3,-25.0,2.4,1,1,1,1,1,1,0,31-010-CAS-161353,31-010-CAS-161353,"Chemistry - A European Journal (2003), 9(1), 140-169",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_2e4b029caef2f29e,trichloroacetimidate,Dichloromethane,3,Trimethylsilyl triflate,3,25.0,150.0,1,1,1,1,1,1,0,31-010-CAS-13389656,31-010-CAS-13389656,"Canadian Journal of Chemistry (2002), 80(8), 917-936",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_2f934edcbcbbe23d,trichloroacetimidate,Dichloromethane,3,Trimethylsilyl triflate,3,20.0,30.0,1,1,1,1,1,0,1,31-010-CAS-7037988,31-010-CAS-7037988,"Russian Chemical Bulletin (2014), 63(2), 511-521",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_2fe0c262583fd950,trichloroacetimidate,Dichloromethane;Diethyl ether,3;4,Trimethylsilyl triflate,3,0.0,0.45,1,1,1,1,1,1,0,31-614-CAS-31203171,31-614-CAS-31203171,"ACS Chemical Biology (2021), 16(11), 2297-2306",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_3055d6e487039667,trichloroacetimidate,Dichloromethane;Toluene,3;5,Triethylamine,4,25.0,720.0,1,1,1,1,1,1,0,31-010-CAS-5864708,31-010-CAS-5864708,"Carbohydrate Research (2010), 345(8), 999-1007",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_34123e4ded38731f,trichloroacetimidate,Dichloromethane;Toluene,3;5,Trimethylsilyl triflate,3,25.0,30.0,1,1,1,1,1,0,1,31-010-CAS-5837683,31-010-CAS-5837683,"World Intellectual Property Organization, WO2014151423 A1 2014-09-25",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_3629c97c849b87d5,trichloroacetimidate,Dichloromethane,3,Trifluoroacetic acid,17,25.0,30.0,1,1,1,1,1,1,0,31-006-CAS-2457473,31-006-CAS-2457473,"Organic & Biomolecular Chemistry (2005), 3(5), 764-786",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
CT_38b1bb70d13aca1e,trichloroacetimidate,Dichloromethane,3,Sodium bicarbonate,8,25.0,30.0,1,1,1,1,1,1,0,31-010-CAS-4518168,31-010-CAS-4518168,"European Journal of Organic Chemistry (2003), (18), 3603-3620",skeleton_only; equivalents/concentration/addition_order/atmosphere not available,1
