Sample_ID,Pair_ID,Structural_Group_ID,Structural_Group_SHA256,Input_Structure_SHA256,Representative_Parent_ID,Representative_Reaction_ID,All_Parent_IDs,All_Parent_Reaction_IDs,Duplicate_Count,Variant,hard_feasibility,Donor_Canonical_SMILES,Acceptor_Canonical_SMILES,Original_Acceptor_Canonical_SMILES,Donor_Type,Target_C4_Index,Target_O4_Index
POS-00c3ca63b2a53e8d,PAIR-00c3ca63b2a53e8d,SG-00c3ca63b2a53e8d,00c3ca63b2a53e8d9384683ea35e5b54215fc0c43d32afec557cd32874bf0902,00c3ca63b2a53e8d9384683ea35e5b54215fc0c43d32afec557cd32874bf0902,586,31-010-CAS-19655310,586,31-010-CAS-19655310,1,original,1,O=C(O[C@H]1C(OC(=Nc2ccccc2)C(F)(F)F)O[C@@H]2CO[C@@H](c3ccccc3)O[C@H]2[C@@H]1OCc1ccccc1)c1ccccc1,C=CCO[C@H]1O[C@H](CO[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)[C@@H](O)[C@H](OCc2ccccc2)[C@H]1NC(C)=O,C=CCO[C@H]1O[C@H](CO[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)[C@@H](O)[C@H](OCc2ccccc2)[C@H]1NC(C)=O,trifluoroacetimidate,26,27
NEG-00c3ca63b2a53e8d,PAIR-00c3ca63b2a53e8d,SG-00c3ca63b2a53e8d,00c3ca63b2a53e8d9384683ea35e5b54215fc0c43d32afec557cd32874bf0902,db4dc026f945e28e13c9f78eec86e1f7ef6f49e3526757f69f3b04beedf7bf1c,586,31-010-CAS-19655310,586,31-010-CAS-19655310,1,o4_acetylated,0,O=C(O[C@H]1C(OC(=Nc2ccccc2)C(F)(F)F)O[C@@H]2CO[C@@H](c3ccccc3)O[C@H]2[C@@H]1OCc1ccccc1)c1ccccc1,C=CCO[C@H]1O[C@H](CO[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)[C@@H](OC(C)=O)[C@H](OCc2ccccc2)[C@H]1NC(C)=O,C=CCO[C@H]1O[C@H](CO[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)[C@@H](O)[C@H](OCc2ccccc2)[C@H]1NC(C)=O,trifluoroacetimidate,26,27
POS-00cd7255d946cf9e,PAIR-00cd7255d946cf9e,SG-00cd7255d946cf9e,00cd7255d946cf9ec1c75d8b5fa562b08ce7fbe5dd4fac4c6ebb9593447c206f,00cd7255d946cf9ec1c75d8b5fa562b08ce7fbe5dd4fac4c6ebb9593447c206f,271,31-010-CAS-7037988,271,31-010-CAS-7037988,1,original,1,CC(=O)OC[C@H]1OC(OC(=N)C(Cl)(Cl)Cl)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]1OC(C)=O,CC(C)(C)[Si](C)(C)OC[C@H]1O[C@@H](OCCN=[N+]=[N-])[C@H](N2C(=O)c3ccccc3C2=O)[C@@H](O)[C@@H]1O,CC(C)(C)[Si](C)(C)OC[C@H]1O[C@@H](OCCN=[N+]=[N-])[C@H](N2C(=O)c3ccccc3C2=O)[C@@H](O)[C@@H]1O,trichloroacetimidate,32,33
NEG-00cd7255d946cf9e,PAIR-00cd7255d946cf9e,SG-00cd7255d946cf9e,00cd7255d946cf9ec1c75d8b5fa562b08ce7fbe5dd4fac4c6ebb9593447c206f,455568dacdd64573bb5d3c64c8cf0025006eece0db71a55bbd1797e826c5eaab,271,31-010-CAS-7037988,271,31-010-CAS-7037988,1,o4_acetylated,0,CC(=O)OC[C@H]1OC(OC(=N)C(Cl)(Cl)Cl)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]1OC(C)=O,CC(=O)O[C@H]1[C@H](O)[C@@H](N2C(=O)c3ccccc3C2=O)[C@H](OCCN=[N+]=[N-])O[C@@H]1CO[Si](C)(C)C(C)(C)C,CC(C)(C)[Si](C)(C)OC[C@H]1O[C@@H](OCCN=[N+]=[N-])[C@H](N2C(=O)c3ccccc3C2=O)[C@@H](O)[C@@H]1O,trichloroacetimidate,4,3
POS-0159f49e2019cc12,PAIR-0159f49e2019cc12,SG-0159f49e2019cc12,0159f49e2019cc12e1587b69e1fbc85cd17ad3681d86db5f0adb9471ee2311ba,0159f49e2019cc12e1587b69e1fbc85cd17ad3681d86db5f0adb9471ee2311ba,1293,31-614-CAS-34956360,1293,31-614-CAS-34956360,1,original,1,Cc1ccc(S[C@@H]2O[C@@H]3CO[C@H](c4ccccc4)O[C@@H]3[C@H](OC(=O)c3ccccc3)[C@H]2OC(=O)c2ccccc2)cc1,CC(C)(C)[Si](OC[C@H]1O[C@@H](OCCCN=[N+]=[N-])[C@H](N2C(=O)c3ccccc3C2=O)[C@@H](O)[C@@H]1O)(c1ccccc1)c1ccccc1,CC(C)(C)[Si](OC[C@H]1O[C@@H](OCCCN=[N+]=[N-])[C@H](N2C(=O)c3ccccc3C2=O)[C@@H](O)[C@@H]1O)(c1ccccc1)c1ccccc1,thioglycoside,31,32
NEG-0159f49e2019cc12,PAIR-0159f49e2019cc12,SG-0159f49e2019cc12,0159f49e2019cc12e1587b69e1fbc85cd17ad3681d86db5f0adb9471ee2311ba,2ce52d3a5a734ea5c5ee71a69e73c5ee247ea95af3e3940d0c874e98a82cccb9,1293,31-614-CAS-34956360,1293,31-614-CAS-34956360,1,o4_acetylated,0,Cc1ccc(S[C@@H]2O[C@@H]3CO[C@H](c4ccccc4)O[C@@H]3[C@H](OC(=O)c3ccccc3)[C@H]2OC(=O)c2ccccc2)cc1,CC(=O)O[C@H]1[C@H](O)[C@@H](N2C(=O)c3ccccc3C2=O)[C@H](OCCCN=[N+]=[N-])O[C@@H]1CO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C,CC(C)(C)[Si](OC[C@H]1O[C@@H](OCCCN=[N+]=[N-])[C@H](N2C(=O)c3ccccc3C2=O)[C@@H](O)[C@@H]1O)(c1ccccc1)c1ccccc1,thioglycoside,4,3
POS-0167cd51c7e26ed5,PAIR-0167cd51c7e26ed5,SG-0167cd51c7e26ed5,0167cd51c7e26ed55febbc717654462501ae2d6f56ed167dcfc24b53e78b913f,0167cd51c7e26ed55febbc717654462501ae2d6f56ed167dcfc24b53e78b913f,469,31-010-CAS-10298862,469,31-010-CAS-10298862,1,original,1,CC(=O)CCC(=O)O[C@H]1[C@@H](OC(=N)C(Cl)(Cl)Cl)O[C@H](C(=O)OCc2ccccc2)[C@@H](O[C@H]2O[C@H](COC(C)=O)[C@@H](OCc3ccccc3)[C@H](OCc3ccccc3)[C@H]2N=[N+]=[N-])[C@@H]1OCc1ccccc1,CC(=O)O[C@H]1[C@H](O)[C@H]2CO[C@H](O2)[C@@H]1N=[N+]=[N-],CC(=O)O[C@H]1[C@H](O)[C@H]2CO[C@H](O2)[C@@H]1N=[N+]=[N-],trichloroacetimidate,5,6
NEG-0167cd51c7e26ed5,PAIR-0167cd51c7e26ed5,SG-0167cd51c7e26ed5,0167cd51c7e26ed55febbc717654462501ae2d6f56ed167dcfc24b53e78b913f,1c64fb8f5be33534c9ab7c735f3ccd3dfe135199777011df30342e2e3aeaa5f1,469,31-010-CAS-10298862,469,31-010-CAS-10298862,1,o4_acetylated,0,CC(=O)CCC(=O)O[C@H]1[C@@H](OC(=N)C(Cl)(Cl)Cl)O[C@H](C(=O)OCc2ccccc2)[C@@H](O[C@H]2O[C@H](COC(C)=O)[C@@H](OCc3ccccc3)[C@H](OCc3ccccc3)[C@H]2N=[N+]=[N-])[C@@H]1OCc1ccccc1,CC(=O)O[C@@H]1[C@@H](N=[N+]=[N-])[C@@H]2OC[C@@H](O2)[C@H]1OC(C)=O,CC(=O)O[C@H]1[C@H](O)[C@H]2CO[C@H](O2)[C@@H]1N=[N+]=[N-],trichloroacetimidate,14,15
POS-01743178128e5f28,PAIR-01743178128e5f28,SG-01743178128e5f28,01743178128e5f2805a0008793af3ae56e205ed029c81ee66cd0f5c6063a3f9c,01743178128e5f2805a0008793af3ae56e205ed029c81ee66cd0f5c6063a3f9c,449,31-010-CAS-16614014,449,31-010-CAS-16614014,1,original,1,COC(=O)[C@@]1(O[C@H]2[C@@H](OC(C)=O)[C@@H](COC(=O)c3ccccc3)OC(OC(=N)C(Cl)(Cl)Cl)[C@@H]2OC(=O)c2ccccc2)C[C@H](OC(C)=O)[C@@H](NC(C)=O)[C@H]([C@H](OC(C)=O)[C@@H](COC(C)=O)OC(C)=O)O1,COC(=O)[C@@]1(OC[C@H]2O[C@@H](O[C@H]3[C@H](OCc4ccccc4)[C@@H](NC(C)=O)[C@H](OC[C@H]4O[C@@H](OCC[Si](C)(C)C)[C@H](OC(=O)c5ccccc5)[C@@H](O[C@@H]5O[C@H](COCc6ccccc6)[C@@H](O)[C@H](OCc6ccccc6)[C@H]5NC(C)=O)[C@H]4OC(C)=O)O[C@@H]3COCc3ccccc3)[C@H](OC(=O)c3ccccc3)[C@@H](OC(=O)c3ccccc3)[C@H]2OC(C)=O)C[C@H](OC(C)=O)[C@@H](NC(C)=O)[C@H]([C@H](OC(C)=O)[C@@H](COC(C)=O)OC(C)=O)O1,COC(=O)[C@@]1(OC[C@H]2O[C@@H](O[C@H]3[C@H](OCc4ccccc4)[C@@H](NC(C)=O)[C@H](OC[C@H]4O[C@@H](OCC[Si](C)(C)C)[C@H](OC(=O)c5ccccc5)[C@@H](O[C@@H]5O[C@H](COCc6ccccc6)[C@@H](O)[C@H](OCc6ccccc6)[C@H]5NC(C)=O)[C@H]4OC(C)=O)O[C@@H]3COCc3ccccc3)[C@H](OC(=O)c3ccccc3)[C@@H](OC(=O)c3ccccc3)[C@H]2OC(C)=O)C[C@H](OC(C)=O)[C@@H](NC(C)=O)[C@H]([C@H](OC(C)=O)[C@@H](COC(C)=O)OC(C)=O)O1,trichloroacetimidate,63,64
NEG-01743178128e5f28,PAIR-01743178128e5f28,SG-01743178128e5f28,01743178128e5f2805a0008793af3ae56e205ed029c81ee66cd0f5c6063a3f9c,d5f3c4839b2a3c6b8f0a2e5585f38b269bad09f38aeaac93b40afaf0f1d6ddd0,449,31-010-CAS-16614014,449,31-010-CAS-16614014,1,o4_acetylated,0,COC(=O)[C@@]1(O[C@H]2[C@@H](OC(C)=O)[C@@H](COC(=O)c3ccccc3)OC(OC(=N)C(Cl)(Cl)Cl)[C@@H]2OC(=O)c2ccccc2)C[C@H](OC(C)=O)[C@@H](NC(C)=O)[C@H]([C@H](OC(C)=O)[C@@H](COC(C)=O)OC(C)=O)O1,COC(=O)[C@@]1(OC[C@H]2O[C@@H](O[C@H]3[C@H](OCc4ccccc4)[C@@H](NC(C)=O)[C@H](OC[C@H]4O[C@@H](OCC[Si](C)(C)C)[C@H](OC(=O)c5ccccc5)[C@@H](O[C@@H]5O[C@H](COCc6ccccc6)[C@@H](OC(C)=O)[C@H](OCc6ccccc6)[C@H]5NC(C)=O)[C@H]4OC(C)=O)O[C@@H]3COCc3ccccc3)[C@H](OC(=O)c3ccccc3)[C@@H](OC(=O)c3ccccc3)[C@H]2OC(C)=O)C[C@H](OC(C)=O)[C@@H](NC(C)=O)[C@H]([C@H](OC(C)=O)[C@@H](COC(C)=O)OC(C)=O)O1,COC(=O)[C@@]1(OC[C@H]2O[C@@H](O[C@H]3[C@H](OCc4ccccc4)[C@@H](NC(C)=O)[C@H](OC[C@H]4O[C@@H](OCC[Si](C)(C)C)[C@H](OC(=O)c5ccccc5)[C@@H](O[C@@H]5O[C@H](COCc6ccccc6)[C@@H](O)[C@H](OCc6ccccc6)[C@H]5NC(C)=O)[C@H]4OC(C)=O)O[C@@H]3COCc3ccccc3)[C@H](OC(=O)c3ccccc3)[C@@H](OC(=O)c3ccccc3)[C@H]2OC(C)=O)C[C@H](OC(C)=O)[C@@H](NC(C)=O)[C@H]([C@H](OC(C)=O)[C@@H](COC(C)=O)OC(C)=O)O1,trichloroacetimidate,63,64
POS-0185dd7456de289a,PAIR-0185dd7456de289a,SG-0185dd7456de289a,0185dd7456de289a79f951cd71a22e5b0a36deeb32041dbff2adc1cf00d70124,0185dd7456de289a79f951cd71a22e5b0a36deeb32041dbff2adc1cf00d70124,860,31-013-CAS-8306668,860,31-013-CAS-8306668,1,original,1,C[C@@H]1O[C@@H](Sc2ccccc2)[C@H](O[Si](C)(C)C(C)(C)C)[C@H](O[Si](C)(C)C(C)(C)C)[C@H]1O[Si](C)(C)C(C)(C)C,CC(=O)N[C@H]1[C@H](OCc2ccccc2)O[C@H](COCc2ccccc2)[C@@H](O)[C@@H]1OC(C)=O,CC(=O)N[C@H]1[C@H](OCc2ccccc2)O[C@H](COCc2ccccc2)[C@@H](O)[C@@H]1OC(C)=O,thioglycoside,25,26
NEG-0185dd7456de289a,PAIR-0185dd7456de289a,SG-0185dd7456de289a,0185dd7456de289a79f951cd71a22e5b0a36deeb32041dbff2adc1cf00d70124,1f40939b80aaac9d973e5c408a3a66efe4aefe015dcbe2cd34e324bfe0fe9b5e,860,31-013-CAS-8306668,860,31-013-CAS-8306668,1,o4_acetylated,0,C[C@@H]1O[C@@H](Sc2ccccc2)[C@H](O[Si](C)(C)C(C)(C)C)[C@H](O[Si](C)(C)C(C)(C)C)[C@H]1O[Si](C)(C)C(C)(C)C,CC(=O)N[C@H]1[C@H](OCc2ccccc2)O[C@H](COCc2ccccc2)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,CC(=O)N[C@H]1[C@H](OCc2ccccc2)O[C@H](COCc2ccccc2)[C@@H](O)[C@@H]1OC(C)=O,thioglycoside,25,26
POS-0189acadb078d3e2,PAIR-0189acadb078d3e2,SG-0189acadb078d3e2,0189acadb078d3e2fda66064facdfe460243fce8791f8cb64d169c6f23ac5d95,0189acadb078d3e2fda66064facdfe460243fce8791f8cb64d169c6f23ac5d95,1489,31-013-CAS-12313595,1489,31-013-CAS-12313595,1,original,1,Cc1ccc(S[C@@H]2O[C@H](COCc3ccccc3)[C@@H](O[C@@H]3O[C@H](COCc4ccccc4)[C@@H](O[Si](C)(C)C(C)(C)C)[C@H](OCc4ccccc4)[C@H]3N3C(=O)c4ccccc4C3=O)[C@H](O)[C@H]2N2C(=O)c3ccccc3C2=O)cc1,Cc1ccc(S[C@@H]2O[C@H](COCc3ccccc3)[C@@H](O[C@@H]3O[C@H](COCc4ccccc4)[C@@H](O)[C@H](OCc4ccccc4)[C@H]3N3C(=O)c4ccccc4C3=O)[C@H](OC(=O)CCl)[C@H]2N2C(=O)c3ccccc3C2=O)cc1,Cc1ccc(S[C@@H]2O[C@H](COCc3ccccc3)[C@@H](O[C@@H]3O[C@H](COCc4ccccc4)[C@@H](O)[C@H](OCc4ccccc4)[C@H]3N3C(=O)c4ccccc4C3=O)[C@H](OC(=O)CCl)[C@H]2N2C(=O)c3ccccc3C2=O)cc1,thioglycoside,32,33
NEG-0189acadb078d3e2,PAIR-0189acadb078d3e2,SG-0189acadb078d3e2,0189acadb078d3e2fda66064facdfe460243fce8791f8cb64d169c6f23ac5d95,614cd48a86d910e0138605965c7d386eda6acf8585f412f85ed1e352f4f0d9e6,1489,31-013-CAS-12313595,1489,31-013-CAS-12313595,1,o4_acetylated,0,Cc1ccc(S[C@@H]2O[C@H](COCc3ccccc3)[C@@H](O[C@@H]3O[C@H](COCc4ccccc4)[C@@H](O[Si](C)(C)C(C)(C)C)[C@H](OCc4ccccc4)[C@H]3N3C(=O)c4ccccc4C3=O)[C@H](O)[C@H]2N2C(=O)c3ccccc3C2=O)cc1,CC(=O)O[C@H]1[C@H](OCc2ccccc2)[C@@H](N2C(=O)c3ccccc3C2=O)[C@H](O[C@H]2[C@H](OC(=O)CCl)[C@@H](N3C(=O)c4ccccc4C3=O)[C@H](Sc3ccc(C)cc3)O[C@@H]2COCc2ccccc2)O[C@@H]1COCc1ccccc1,Cc1ccc(S[C@@H]2O[C@H](COCc3ccccc3)[C@@H](O[C@@H]3O[C@H](COCc4ccccc4)[C@@H](O)[C@H](OCc4ccccc4)[C@H]3N3C(=O)c4ccccc4C3=O)[C@H](OC(=O)CCl)[C@H]2N2C(=O)c3ccccc3C2=O)cc1,thioglycoside,4,3
POS-01c942701ec92327,PAIR-01c942701ec92327,SG-01c942701ec92327,01c942701ec92327c59d3597b2c87804507b4ffa75def8d2ec2250993853c005,01c942701ec92327c59d3597b2c87804507b4ffa75def8d2ec2250993853c005,442,31-010-CAS-3951292,442,31-010-CAS-3951292,1,original,1,CC(=O)CCC(=O)OC[C@@H]1OC(OC(=N)C(Cl)(Cl)Cl)[C@H](OC(=O)c2ccccc2)[C@@H](OCc2ccccc2)[C@@H]1O[C@H]1O[C@H](COC(=O)c2ccccc2)[C@@H](OCc2ccc3ccccc3c2)[C@H](OCc2ccccc2)[C@H]1N=[N+]=[N-],CO[C@H]1O[C@H](COC(=O)c2ccccc2)[C@@H](O[C@@H]2O[C@@H](COC(=O)CCC(C)=O)[C@@H](O[C@H]3O[C@H](COC(=O)c4ccccc4)[C@@H](O[C@@H]4O[C@@H](COC(=O)CCC(C)=O)[C@@H](O[C@H]5O[C@H](COC(=O)c6ccccc6)[C@@H](O)[C@H](OCc6ccccc6)[C@H]5N=[N+]=[N-])[C@H](OCc5ccccc5)[C@H]4OC(=O)c4ccccc4)[C@H](OCc4ccccc4)[C@H]3N=[N+]=[N-])[C@H](OCc3ccccc3)[C@H]2OC(=O)c2ccccc2)[C@H](OCc2ccccc2)[C@H]1N=[N+]=[N-],CO[C@H]1O[C@H](COC(=O)c2ccccc2)[C@@H](O[C@@H]2O[C@@H](COC(=O)CCC(C)=O)[C@@H](O[C@H]3O[C@H](COC(=O)c4ccccc4)[C@@H](O[C@@H]4O[C@@H](COC(=O)CCC(C)=O)[C@@H](O[C@H]5O[C@H](COC(=O)c6ccccc6)[C@@H](O)[C@H](OCc6ccccc6)[C@H]5N=[N+]=[N-])[C@H](OCc5ccccc5)[C@H]4OC(=O)c4ccccc4)[C@H](OCc4ccccc4)[C@H]3N=[N+]=[N-])[C@H](OCc3ccccc3)[C@H]2OC(=O)c2ccccc2)[C@H](OCc2ccccc2)[C@H]1N=[N+]=[N-],trichloroacetimidate,73,74
NEG-01c942701ec92327,PAIR-01c942701ec92327,SG-01c942701ec92327,01c942701ec92327c59d3597b2c87804507b4ffa75def8d2ec2250993853c005,847ed354dd2b6d8f59158f228c13cf64f40f72ce6b4df1bcd444d82aff8902b8,442,31-010-CAS-3951292,442,31-010-CAS-3951292,1,o4_acetylated,0,CC(=O)CCC(=O)OC[C@@H]1OC(OC(=N)C(Cl)(Cl)Cl)[C@H](OC(=O)c2ccccc2)[C@@H](OCc2ccccc2)[C@@H]1O[C@H]1O[C@H](COC(=O)c2ccccc2)[C@@H](OCc2ccc3ccccc3c2)[C@H](OCc2ccccc2)[C@H]1N=[N+]=[N-],CO[C@H]1O[C@H](COC(=O)c2ccccc2)[C@@H](O[C@@H]2O[C@@H](COC(=O)CCC(C)=O)[C@@H](O[C@H]3O[C@H](COC(=O)c4ccccc4)[C@@H](O[C@@H]4O[C@@H](COC(=O)CCC(C)=O)[C@@H](O[C@H]5O[C@H](COC(=O)c6ccccc6)[C@@H](OC(C)=O)[C@H](OCc6ccccc6)[C@H]5N=[N+]=[N-])[C@H](OCc5ccccc5)[C@H]4OC(=O)c4ccccc4)[C@H](OCc4ccccc4)[C@H]3N=[N+]=[N-])[C@H](OCc3ccccc3)[C@H]2OC(=O)c2ccccc2)[C@H](OCc2ccccc2)[C@H]1N=[N+]=[N-],CO[C@H]1O[C@H](COC(=O)c2ccccc2)[C@@H](O[C@@H]2O[C@@H](COC(=O)CCC(C)=O)[C@@H](O[C@H]3O[C@H](COC(=O)c4ccccc4)[C@@H](O[C@@H]4O[C@@H](COC(=O)CCC(C)=O)[C@@H](O[C@H]5O[C@H](COC(=O)c6ccccc6)[C@@H](O)[C@H](OCc6ccccc6)[C@H]5N=[N+]=[N-])[C@H](OCc5ccccc5)[C@H]4OC(=O)c4ccccc4)[C@H](OCc4ccccc4)[C@H]3N=[N+]=[N-])[C@H](OCc3ccccc3)[C@H]2OC(=O)c2ccccc2)[C@H](OCc2ccccc2)[C@H]1N=[N+]=[N-],trichloroacetimidate,73,74
POS-02268520dbaebf70,PAIR-02268520dbaebf70,SG-02268520dbaebf70,02268520dbaebf70dd1a3d6b97cc4d10197a3886fa3536c5897701a52306fcb1,02268520dbaebf70dd1a3d6b97cc4d10197a3886fa3536c5897701a52306fcb1,1232,31-013-CAS-18353674,1232,31-013-CAS-18353674,1,original,1,Cc1ccc(S[C@@H]2O[C@@H]3CO[C@H](c4ccccc4)O[C@@H]3[C@H](OCc3ccccc3)[C@H]2OC(=O)c2ccccc2)cc1,Cc1ccc(S[C@@H]2O[C@H](COCc3ccccc3)[C@@H](O)[C@H](O)[C@H]2N2C(=O)c3ccccc3C2=O)cc1,Cc1ccc(S[C@@H]2O[C@H](COCc3ccccc3)[C@@H](O)[C@H](O)[C@H]2N2C(=O)c3ccccc3C2=O)cc1,thioglycoside,18,19
NEG-02268520dbaebf70,PAIR-02268520dbaebf70,SG-02268520dbaebf70,02268520dbaebf70dd1a3d6b97cc4d10197a3886fa3536c5897701a52306fcb1,eb4948910a031c1ac40a18f915fbe16308e20cf6e4268b6d468901530c249bfa,1232,31-013-CAS-18353674,1232,31-013-CAS-18353674,1,o4_acetylated,0,Cc1ccc(S[C@@H]2O[C@@H]3CO[C@H](c4ccccc4)O[C@@H]3[C@H](OCc3ccccc3)[C@H]2OC(=O)c2ccccc2)cc1,CC(=O)O[C@H]1[C@H](O)[C@@H](N2C(=O)c3ccccc3C2=O)[C@H](Sc2ccc(C)cc2)O[C@@H]1COCc1ccccc1,Cc1ccc(S[C@@H]2O[C@H](COCc3ccccc3)[C@@H](O)[C@H](O)[C@H]2N2C(=O)c3ccccc3C2=O)cc1,thioglycoside,4,3
POS-0230682ae8818933,PAIR-0230682ae8818933,SG-0230682ae8818933,0230682ae8818933f835a9b33192b6b413175515e29b28280b4f8d0d9208814b,0230682ae8818933f835a9b33192b6b413175515e29b28280b4f8d0d9208814b,502,31-010-CAS-16631938,502,31-010-CAS-16631938,1,original,1,C[C@@H]1O[C@@H](OC(=N)C(Cl)(Cl)Cl)[C@@H](OCc2ccccc2)[C@H](OCc2ccccc2)[C@@H]1O[C@@H]1O[C@H](COC(=O)c2ccccc2)[C@@H](OC(=O)c2ccccc2)[C@H](OC(=O)c2ccccc2)[C@H]1OC(=O)c1ccccc1,CCS[C@@H]1O[C@H](COCc2ccccc2)[C@@H](O)[C@H](OC(C)=O)[C@H]1N1C(=O)c2ccccc2C1=O,CCS[C@@H]1O[C@H](COCc2ccccc2)[C@@H](O)[C@H](OC(C)=O)[C@H]1N1C(=O)c2ccccc2C1=O,trichloroacetimidate,15,16
NEG-0230682ae8818933,PAIR-0230682ae8818933,SG-0230682ae8818933,0230682ae8818933f835a9b33192b6b413175515e29b28280b4f8d0d9208814b,092e34006b26072c4b5a6ebaec8c30d7d7fe9e2935477887eee8d48b39a4a50f,502,31-010-CAS-16631938,502,31-010-CAS-16631938,1,o4_acetylated,0,C[C@@H]1O[C@@H](OC(=N)C(Cl)(Cl)Cl)[C@@H](OCc2ccccc2)[C@H](OCc2ccccc2)[C@@H]1O[C@@H]1O[C@H](COC(=O)c2ccccc2)[C@@H](OC(=O)c2ccccc2)[C@H](OC(=O)c2ccccc2)[C@H]1OC(=O)c1ccccc1,CCS[C@@H]1O[C@H](COCc2ccccc2)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1N1C(=O)c2ccccc2C1=O,CCS[C@@H]1O[C@H](COCc2ccccc2)[C@@H](O)[C@H](OC(C)=O)[C@H]1N1C(=O)c2ccccc2C1=O,trichloroacetimidate,15,16
POS-0266e45e27e7a962,PAIR-0266e45e27e7a962,SG-0266e45e27e7a962,0266e45e27e7a962b19fef87068d7ef3b4f90f59c7bc474da0d9e26edee7cbea,0266e45e27e7a962b19fef87068d7ef3b4f90f59c7bc474da0d9e26edee7cbea,935,31-013-CAS-9419983,935,31-013-CAS-9419983,1,original,1,CCS[C@H]1O[C@@H](C)[C@H](OCc2ccccc2)[C@@H](OCc2ccccc2)[C@H]1OCc1ccccc1,COC(C)=N[C@H]1[C@H](OC)O[C@H](COCc2ccccc2)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](COC(C)=O)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O,COC(C)=N[C@H]1[C@H](OC)O[C@H](COCc2ccccc2)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](COC(C)=O)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O,thioglycoside,20,21
NEG-0266e45e27e7a962,PAIR-0266e45e27e7a962,SG-0266e45e27e7a962,0266e45e27e7a962b19fef87068d7ef3b4f90f59c7bc474da0d9e26edee7cbea,7031af10daa54a5505920ecfda4d3952f2b9ba3ff15d43ab6dd491e7d9b308d3,935,31-013-CAS-9419983,935,31-013-CAS-9419983,1,o4_acetylated,0,CCS[C@H]1O[C@@H](C)[C@H](OCc2ccccc2)[C@@H](OCc2ccccc2)[C@H]1OCc1ccccc1,COC(C)=N[C@H]1[C@H](OC)O[C@H](COCc2ccccc2)[C@@H](OC(C)=O)[C@@H]1O[C@@H]1O[C@H](COC(C)=O)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O,COC(C)=N[C@H]1[C@H](OC)O[C@H](COCc2ccccc2)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](COC(C)=O)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O,thioglycoside,20,21
POS-0357af6b7a211992,PAIR-0357af6b7a211992,SG-0357af6b7a211992,0357af6b7a2119920b7961a4d6a42efbcabd92728d2db883e8a0033113184393,0357af6b7a2119920b7961a4d6a42efbcabd92728d2db883e8a0033113184393,1302,31-013-CAS-21359712,1302;1303,31-013-CAS-21359712;31-013-CAS-6321258,2,original,1,C=CCO[C@@H]1[C@@H](N=[N+]=[N-])[C@@H](O[C@H]2[C@H](OCc3ccccc3)[C@@H](OC(=O)c3ccccc3)[C@@H](Sc3ccc(C)cc3)O[C@H]2COc2ccc(OC)cc2)O[C@H](COC(=O)c2ccccc2)[C@H]1OC(=O)CCC(C)=O,CO[C@H]1O[C@H](COC(=O)c2ccccc2)[C@@H](O)[C@H](OCc2ccccc2)[C@H]1NC=C1C(=O)N(C)C(=O)N(C)C1=O,CO[C@H]1O[C@H](COC(=O)c2ccccc2)[C@@H](O)[C@H](OCc2ccccc2)[C@H]1NC=C1C(=O)N(C)C(=O)N(C)C1=O,thioglycoside,15,16
NEG-0357af6b7a211992,PAIR-0357af6b7a211992,SG-0357af6b7a211992,0357af6b7a2119920b7961a4d6a42efbcabd92728d2db883e8a0033113184393,a0aa235654e58a25b1af1c79c751e465df6aadc5d948a18c7a614a5c7f13f8c1,1302,31-013-CAS-21359712,1302;1303,31-013-CAS-21359712;31-013-CAS-6321258,2,o4_acetylated,0,C=CCO[C@@H]1[C@@H](N=[N+]=[N-])[C@@H](O[C@H]2[C@H](OCc3ccccc3)[C@@H](OC(=O)c3ccccc3)[C@@H](Sc3ccc(C)cc3)O[C@H]2COc2ccc(OC)cc2)O[C@H](COC(=O)c2ccccc2)[C@H]1OC(=O)CCC(C)=O,CO[C@H]1O[C@H](COC(=O)c2ccccc2)[C@@H](OC(C)=O)[C@H](OCc2ccccc2)[C@H]1NC=C1C(=O)N(C)C(=O)N(C)C1=O,CO[C@H]1O[C@H](COC(=O)c2ccccc2)[C@@H](O)[C@H](OCc2ccccc2)[C@H]1NC=C1C(=O)N(C)C(=O)N(C)C1=O,thioglycoside,15,16
