Sample_ID,Pair_ID,Structural_Group_ID,Structural_Group_SHA256,Input_Structure_SHA256,Representative_Parent_ID,Representative_Reaction_ID,All_Parent_IDs,All_Parent_Reaction_IDs,Duplicate_Count,Variant,hard_feasibility,Donor_Canonical_SMILES,Acceptor_Canonical_SMILES,Original_Acceptor_Canonical_SMILES,Donor_Type,Target_C4_Index,Target_O4_Index
POS-c1cc0efe1a5122e0,PAIR-c1cc0efe1a5122e0,SG-c1cc0efe1a5122e0,c1cc0efe1a5122e082d2bb1f84bc13982e2a52ffb1779f728bf540f6b37b4ca0,c1cc0efe1a5122e082d2bb1f84bc13982e2a52ffb1779f728bf540f6b37b4ca0,89,31-010-CAS-9775514,89,31-010-CAS-9775514,1,original,1,N=C(OC1O[C@@H]2CO[C@@H](c3ccccc3)O[C@H]2[C@H](OCc2ccccc2)[C@H]1NC(=O)OCC(Cl)(Cl)Cl)C(Cl)(Cl)Cl,C=CCO[C@H]1O[C@H](COCc2ccccc2)[C@@H](O)[C@H](O[C@H](C)C(=O)OCC)[C@H]1NC(=O)OCC(Cl)(Cl)Cl,C=CCO[C@H]1O[C@H](COCc2ccccc2)[C@@H](O)[C@H](O[C@H](C)C(=O)OCC)[C@H]1NC(=O)OCC(Cl)(Cl)Cl,trichloroacetimidate,16,17
NEG-c1cc0efe1a5122e0,PAIR-c1cc0efe1a5122e0,SG-c1cc0efe1a5122e0,c1cc0efe1a5122e082d2bb1f84bc13982e2a52ffb1779f728bf540f6b37b4ca0,a1fdb646b4bc83b0ff834da3af1206a459b7de00795f9ffc14475d670b6e2ac0,89,31-010-CAS-9775514,89,31-010-CAS-9775514,1,o4_acetylated,0,N=C(OC1O[C@@H]2CO[C@@H](c3ccccc3)O[C@H]2[C@H](OCc2ccccc2)[C@H]1NC(=O)OCC(Cl)(Cl)Cl)C(Cl)(Cl)Cl,C=CCO[C@H]1O[C@H](COCc2ccccc2)[C@@H](OC(C)=O)[C@H](O[C@H](C)C(=O)OCC)[C@H]1NC(=O)OCC(Cl)(Cl)Cl,C=CCO[C@H]1O[C@H](COCc2ccccc2)[C@@H](O)[C@H](O[C@H](C)C(=O)OCC)[C@H]1NC(=O)OCC(Cl)(Cl)Cl,trichloroacetimidate,16,17
POS-c1d26cee9ef1664f,PAIR-c1d26cee9ef1664f,SG-c1d26cee9ef1664f,c1d26cee9ef1664f47d1615ddad3b8b6b62392a241e453eb9da6c812368a8c37,c1d26cee9ef1664f47d1615ddad3b8b6b62392a241e453eb9da6c812368a8c37,624,31-010-CAS-12429416,624,31-010-CAS-12429416,1,original,1,CC(=O)O[C@H]1[C@H](OCc2ccc(N=[N+]=[N-])c(Cl)c2)[C@H](OCc2ccccc2)[C@H](O[C@H]2[C@H](OCc3ccccc3)[C@@H](NC(=O)OCC(Cl)(Cl)Cl)C(OC(=Nc3ccccc3)C(F)(F)F)O[C@@H]2COCc2ccccc2)O[C@@H]1COC(=O)OCC1c2ccccc2-c2ccccc21,O=C(O)CCC(=O)OCc1ccc(CO[C@@H]2O[C@H](COCc3ccccc3)[C@@H](O)[C@H](OCc3ccccc3)[C@H]2NC(=O)OCC(Cl)(Cl)Cl)cc1,O=C(O)CCC(=O)OCc1ccc(CO[C@@H]2O[C@H](COCc3ccccc3)[C@@H](O)[C@H](OCc3ccccc3)[C@H]2NC(=O)OCC(Cl)(Cl)Cl)cc1,trifluoroacetimidate,27,28
NEG-c1d26cee9ef1664f,PAIR-c1d26cee9ef1664f,SG-c1d26cee9ef1664f,c1d26cee9ef1664f47d1615ddad3b8b6b62392a241e453eb9da6c812368a8c37,24f703a70bbcf15f42469f8e7d7903a357d1a27328c06bcb4b0c25bd318c975a,624,31-010-CAS-12429416,624,31-010-CAS-12429416,1,o4_acetylated,0,CC(=O)O[C@H]1[C@H](OCc2ccc(N=[N+]=[N-])c(Cl)c2)[C@H](OCc2ccccc2)[C@H](O[C@H]2[C@H](OCc3ccccc3)[C@@H](NC(=O)OCC(Cl)(Cl)Cl)C(OC(=Nc3ccccc3)C(F)(F)F)O[C@@H]2COCc2ccccc2)O[C@@H]1COC(=O)OCC1c2ccccc2-c2ccccc21,CC(=O)O[C@H]1[C@H](OCc2ccccc2)[C@@H](NC(=O)OCC(Cl)(Cl)Cl)[C@H](OCc2ccc(COC(=O)CCC(=O)O)cc2)O[C@@H]1COCc1ccccc1,O=C(O)CCC(=O)OCc1ccc(CO[C@@H]2O[C@H](COCc3ccccc3)[C@@H](O)[C@H](OCc3ccccc3)[C@H]2NC(=O)OCC(Cl)(Cl)Cl)cc1,trifluoroacetimidate,4,3
POS-c1d9408f000f8469,PAIR-c1d9408f000f8469,SG-c1d9408f000f8469,c1d9408f000f84691dcfe899e7f630664b687905319193e966e602c5babf31e5,c1d9408f000f84691dcfe899e7f630664b687905319193e966e602c5babf31e5,496,31-010-CAS-6021949,496;497;518,31-010-CAS-6021949;31-010-CAS-16647883;31-010-CAS-14831299,3,original,1,CC(=O)O[C@@H]1[C@@H](O[C@@H]2[C@@H](O[C@@H]3[C@@H](OC[C@H]4O[C@H](OC(=N)C(Cl)(Cl)Cl)[C@@H](OC(=O)c5ccccc5)[C@@H](OCc5ccccc5)[C@@H]4OCc4ccccc4)O[C@H](COCc4ccccc4)[C@@H](OCc4ccccc4)[C@@H]3OCc3ccccc3)O[C@H](CO[Si](C(C)C)(C(C)C)C(C)C)[C@@H](OCc3ccccc3)[C@@H]2OCc2ccccc2)O[C@H](COCc2ccccc2)[C@@H](OCc2ccccc2)[C@@H]1OCc1ccccc1,C=CCO[C@@H]1[C@H](OCc2ccccc2)[C@H](OCc2ccccc2)[C@@H](OCc2ccccc2)[C@H](OCc2ccccc2)[C@H]1O[C@H]1O[C@H](COCc2ccccc2)[C@@H](O)[C@H](OCc2ccccc2)[C@H]1N=[N+]=[N-],C=CCO[C@@H]1[C@H](OCc2ccccc2)[C@H](OCc2ccccc2)[C@@H](OCc2ccccc2)[C@H](OCc2ccccc2)[C@H]1O[C@H]1O[C@H](COCc2ccccc2)[C@@H](O)[C@H](OCc2ccccc2)[C@H]1N=[N+]=[N-],trichloroacetimidate,55,56
NEG-c1d9408f000f8469,PAIR-c1d9408f000f8469,SG-c1d9408f000f8469,c1d9408f000f84691dcfe899e7f630664b687905319193e966e602c5babf31e5,511c0ccfbc047d8734b998ea165ed8a7b8bb594374261094273b1d9ef4ca0092,496,31-010-CAS-6021949,496;497;518,31-010-CAS-6021949;31-010-CAS-16647883;31-010-CAS-14831299,3,o4_acetylated,0,CC(=O)O[C@@H]1[C@@H](O[C@@H]2[C@@H](O[C@@H]3[C@@H](OC[C@H]4O[C@H](OC(=N)C(Cl)(Cl)Cl)[C@@H](OC(=O)c5ccccc5)[C@@H](OCc5ccccc5)[C@@H]4OCc4ccccc4)O[C@H](COCc4ccccc4)[C@@H](OCc4ccccc4)[C@@H]3OCc3ccccc3)O[C@H](CO[Si](C(C)C)(C(C)C)C(C)C)[C@@H](OCc3ccccc3)[C@@H]2OCc2ccccc2)O[C@H](COCc2ccccc2)[C@@H](OCc2ccccc2)[C@@H]1OCc1ccccc1,C=CCO[C@@H]1[C@H](OCc2ccccc2)[C@H](OCc2ccccc2)[C@@H](OCc2ccccc2)[C@H](OCc2ccccc2)[C@H]1O[C@H]1O[C@H](COCc2ccccc2)[C@@H](OC(C)=O)[C@H](OCc2ccccc2)[C@H]1N=[N+]=[N-],C=CCO[C@@H]1[C@H](OCc2ccccc2)[C@H](OCc2ccccc2)[C@@H](OCc2ccccc2)[C@H](OCc2ccccc2)[C@H]1O[C@H]1O[C@H](COCc2ccccc2)[C@@H](O)[C@H](OCc2ccccc2)[C@H]1N=[N+]=[N-],trichloroacetimidate,55,56
POS-c1d9d0a171f0a939,PAIR-c1d9d0a171f0a939,SG-c1d9d0a171f0a939,c1d9d0a171f0a939f0e741b394aec769f4ad46adb7596dd5c775f02ef144c881,c1d9d0a171f0a939f0e741b394aec769f4ad46adb7596dd5c775f02ef144c881,1114,31-013-CAS-9860387,1114,31-013-CAS-9860387,1,original,1,CCS[C@H]1O[C@H](CO[C@H]2O[C@H](COCc3ccccc3)[C@@H](OCc3ccccc3)[C@H](OCc3ccccc3)[C@@H]2OC(=O)c2ccccc2)[C@@H](OCc2ccccc2)[C@H](OCc2ccccc2)[C@@H]1OCc1ccccc1,CC1(C)O[C@@H]2[C@@H](O[C@H]3O[C@H](COP(=O)(CCNC(=O)OCc4ccccc4)OCc4ccccc4)[C@@H](O)[C@H](OCc4ccccc4)[C@H]3N=[N+]=[N-])[C@H](OP(=O)(OCc3ccccc3)OCc3ccccc3)[C@@H]3O[C@@]4(C[C@H]5CC[C@]4(C)C5(C)C)O[C@@H]3[C@H]2O1,CC1(C)O[C@@H]2[C@@H](O[C@H]3O[C@H](COP(=O)(CCNC(=O)OCc4ccccc4)OCc4ccccc4)[C@@H](O)[C@H](OCc4ccccc4)[C@H]3N=[N+]=[N-])[C@H](OP(=O)(OCc3ccccc3)OCc3ccccc3)[C@@H]3O[C@@]4(C[C@H]5CC[C@]4(C)C5(C)C)O[C@@H]3[C@H]2O1,thioglycoside,35,36
NEG-c1d9d0a171f0a939,PAIR-c1d9d0a171f0a939,SG-c1d9d0a171f0a939,c1d9d0a171f0a939f0e741b394aec769f4ad46adb7596dd5c775f02ef144c881,669e2a8b36061fe4efefedea62a0f32eb0d6de372bb0c6407997a82ab7ecbf1b,1114,31-013-CAS-9860387,1114,31-013-CAS-9860387,1,o4_acetylated,0,CCS[C@H]1O[C@H](CO[C@H]2O[C@H](COCc3ccccc3)[C@@H](OCc3ccccc3)[C@H](OCc3ccccc3)[C@@H]2OC(=O)c2ccccc2)[C@@H](OCc2ccccc2)[C@H](OCc2ccccc2)[C@@H]1OCc1ccccc1,CC(=O)O[C@H]1[C@H](OCc2ccccc2)[C@@H](N=[N+]=[N-])[C@@H](O[C@@H]2[C@H]3OC(C)(C)O[C@@H]3[C@H]3O[C@]4(C[C@H]5CC[C@]4(C)C5(C)C)O[C@H]3[C@H]2OP(=O)(OCc2ccccc2)OCc2ccccc2)O[C@@H]1COP(=O)(CCNC(=O)OCc1ccccc1)OCc1ccccc1,CC1(C)O[C@@H]2[C@@H](O[C@H]3O[C@H](COP(=O)(CCNC(=O)OCc4ccccc4)OCc4ccccc4)[C@@H](O)[C@H](OCc4ccccc4)[C@H]3N=[N+]=[N-])[C@H](OP(=O)(OCc3ccccc3)OCc3ccccc3)[C@@H]3O[C@@]4(C[C@H]5CC[C@]4(C)C5(C)C)O[C@@H]3[C@H]2O1,thioglycoside,4,3
POS-c1da0b7bc066cf0e,PAIR-c1da0b7bc066cf0e,SG-c1da0b7bc066cf0e,c1da0b7bc066cf0e6d72ee48f03f00e69766a80edcd0c9fb65b5b3f6c13dfb48,c1da0b7bc066cf0e6d72ee48f03f00e69766a80edcd0c9fb65b5b3f6c13dfb48,476,31-010-CAS-1169851,476,31-010-CAS-1169851,1,original,1,N=C(OC1O[C@H](COC(=O)c2ccccc2)[C@@H](O[C@@H]2O[C@H](COC(=O)c3ccccc3)[C@H](OC(=O)c3ccccc3)[C@H](OC(=O)c3ccccc3)[C@H]2OC(=O)c2ccccc2)[C@H](OC(=O)c2ccccc2)[C@H]1OC(=O)c1ccccc1)C(Cl)(Cl)Cl,CC(=O)CCC(=O)O[C@H]1[C@H](O)[C@@H](COC(=O)Cc2ccccc2[N+](=O)[O-])O[C@@H](O[C@H]2CC[C@]3(C)[C@H]4CC=C5[C@@H]6CC(C)(C)CC[C@]6(C(=O)OCc6ccccc6)CC[C@@]5(C)[C@]4(C)CC[C@H]3C2(C)C)[C@@H]1NC(=O)OCC(Cl)(Cl)Cl,CC(=O)CCC(=O)O[C@H]1[C@H](O)[C@@H](COC(=O)Cc2ccccc2[N+](=O)[O-])O[C@@H](O[C@H]2CC[C@]3(C)[C@H]4CC=C5[C@@H]6CC(C)(C)CC[C@]6(C(=O)OCc6ccccc6)CC[C@@]5(C)[C@]4(C)CC[C@H]3C2(C)C)[C@@H]1NC(=O)OCC(Cl)(Cl)Cl,trichloroacetimidate,9,10
NEG-c1da0b7bc066cf0e,PAIR-c1da0b7bc066cf0e,SG-c1da0b7bc066cf0e,c1da0b7bc066cf0e6d72ee48f03f00e69766a80edcd0c9fb65b5b3f6c13dfb48,33c9edd6f67def4d1b3ddc50a909fe9d05275472f6557340097580dadb95f1a9,476,31-010-CAS-1169851,476,31-010-CAS-1169851,1,o4_acetylated,0,N=C(OC1O[C@H](COC(=O)c2ccccc2)[C@@H](O[C@@H]2O[C@H](COC(=O)c3ccccc3)[C@H](OC(=O)c3ccccc3)[C@H](OC(=O)c3ccccc3)[C@H]2OC(=O)c2ccccc2)[C@H](OC(=O)c2ccccc2)[C@H]1OC(=O)c1ccccc1)C(Cl)(Cl)Cl,CC(=O)CCC(=O)O[C@@H]1[C@@H](NC(=O)OCC(Cl)(Cl)Cl)[C@H](O[C@H]2CC[C@]3(C)[C@H]4CC=C5[C@@H]6CC(C)(C)CC[C@]6(C(=O)OCc6ccccc6)CC[C@@]5(C)[C@]4(C)CC[C@H]3C2(C)C)O[C@H](COC(=O)Cc2ccccc2[N+](=O)[O-])[C@H]1OC(C)=O,CC(=O)CCC(=O)O[C@H]1[C@H](O)[C@@H](COC(=O)Cc2ccccc2[N+](=O)[O-])O[C@@H](O[C@H]2CC[C@]3(C)[C@H]4CC=C5[C@@H]6CC(C)(C)CC[C@]6(C(=O)OCc6ccccc6)CC[C@@]5(C)[C@]4(C)CC[C@H]3C2(C)C)[C@@H]1NC(=O)OCC(Cl)(Cl)Cl,trichloroacetimidate,76,77
