feature_mode,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,auroc_mean,auprc_mean
deep_only,0.9452731130331745,0.0020365679616895596,0.950337441314554,0.989363262910798,0.9921723603382658
deep_structure,0.9453305562888921,0.0021360021023745495,0.9508998435054773,0.9904880672926448,0.992917216718897
deep_structure_condition,0.9495644182297961,0.002670926203305129,0.9544209702660407,0.9905125195618153,0.9929841841685055
