epoch,train_loss,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_confusion_matrix,val_auroc,val_auprc
1,0.6906829226730217,0.6729160098547347,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
2,0.590207248671442,0.14046916934881318,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
3,0.10432660286752586,0.0896516933702351,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
4,0.08118385885261063,0.08526785110824564,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
5,0.08027474951540303,0.08305827193380741,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
6,0.07999354384393774,0.08291990787125705,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
7,0.07985603758412549,0.08207152289955803,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
8,0.07970905361267236,0.08207918184526851,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
9,0.07956467454250042,0.08170708846510126,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
10,0.07930998777986592,0.08130366112409013,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
11,0.07924267878899208,0.08053720181577662,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
12,0.07910732358184636,0.08039749020271086,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
13,0.07908157762299237,0.08050254179855411,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
14,0.07899112706510429,0.08063687852929148,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
15,0.07897761833463979,0.07911312337336915,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
16,0.07883839627616426,0.08049468361259846,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
17,0.07883045268364441,0.0791129796357637,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
18,0.07876438335475759,0.07939473614933786,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
19,0.0787708095760427,0.07891839600346062,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
20,0.07873763780818026,0.0785324786151393,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
21,0.07872101861951697,0.07887178199009949,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
22,0.07866863129485367,0.0791207341833061,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
23,0.0786574423695222,0.07880116455005796,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
24,0.07867159980994004,0.07870580381556844,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
25,0.0786161529712188,0.07888517302743504,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
26,0.07862150917450587,0.07855331152677536,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
27,0.07862586719103348,0.07844834364532086,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
28,0.07860174877011877,0.07828707356801194,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
29,0.07861241615480846,0.07823044095146522,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
30,0.07858927191322686,0.07843750572941277,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
31,0.07858400072297479,0.0786351662840736,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
32,0.07860604692728092,0.07884670107552175,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
33,0.07855613192177227,0.07852644649114501,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
34,0.07857801669683212,0.0786645258410593,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
35,0.07854730177384156,0.07867913249503361,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
36,0.07856572820590092,0.07825361108512022,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
37,0.07852708822132176,0.07864452329244506,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
38,0.07855420706109104,0.07875317577900512,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
