epoch,train_loss,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_confusion_matrix,val_auroc,val_auprc
1,0.6895680901331779,0.6736698438612263,0.5028089887640449,0.5028089887640449,0.33954531638139757,"[[1, 177], [0, 178]]",1.0,1.0
2,0.6000445469831809,0.1538417473267973,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
3,0.10468923650745653,0.08791358459196734,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
4,0.08073592650839406,0.08371471027644832,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
5,0.08035863751274908,0.08259643505463439,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
6,0.08007344240561509,0.08213784085230881,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
7,0.07992286273302177,0.08174187104018886,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
8,0.07975805875582573,0.0813452113377914,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
9,0.07951996258945547,0.08158372602101123,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
10,0.07924679469349039,0.08069150133079357,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
11,0.07930741077050185,0.08149022675966949,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
12,0.07914365961765632,0.0801047622487786,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
13,0.0790605559053584,0.08016468684994772,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
14,0.07901251233286327,0.07917470568686388,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
15,0.07893234223891528,0.0796130457788371,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
16,0.07889829671535736,0.07991044725594895,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
17,0.07879766930117567,0.07928589915626505,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
18,0.0787716944120888,0.0799345967642377,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
19,0.0787652211311536,0.07943979265649667,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
20,0.0788367072868551,0.0787015605843469,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
21,0.07871633456048803,0.0792230185163155,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
22,0.0787399004921954,0.07857970374353816,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
23,0.0786686149927286,0.07904716170905682,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
24,0.0786752879110157,0.07902341068125843,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
25,0.07870036446385914,0.07875329808572705,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
26,0.07869752611105259,0.07861977112427186,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
27,0.07860123105028756,0.07874258858769127,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
28,0.0786149640623321,0.07835889666267995,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
29,0.0785449493644584,0.07902921158611105,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
30,0.0786052192760329,0.07889010782322187,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
31,0.07859960644163637,0.07830476141377782,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
32,0.07859745933714075,0.07858326026562894,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
33,0.07858145058664501,0.07832973500650921,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
34,0.07856548405610599,0.07844868829745925,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
35,0.0785992294549942,0.07844617895865708,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
36,0.07854684493225864,0.0787405517328991,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
37,0.07851059594724932,0.07839624047949073,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
38,0.07853568046011476,0.07819959253407596,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
39,0.07852809850731467,0.0783180482266994,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
40,0.07851715818939047,0.07816421215453845,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
41,0.07853509434777448,0.0786234632636724,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
42,0.07855479877728683,0.07809374380982324,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
43,0.07852118354067843,0.0784193684210938,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
44,0.078526562350428,0.07823539307613052,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
45,0.07850918937952091,0.07804231194967634,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
46,0.0784975664737897,0.07825348509496517,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
47,0.07855029684356135,0.07857864894224016,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
48,0.07850895331710832,0.07824959363160508,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
49,0.07848025100608157,0.07869654132074184,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
50,0.07851098535152581,0.07839282945300756,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
51,0.07847987599352486,0.07832214554374138,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
52,0.0784911049100069,0.07822877386312806,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
