epoch,train_loss,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_confusion_matrix,val_auroc,val_auprc
1,0.6912573249931009,0.67489447151677,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
2,0.5607434600336939,0.10321580710705747,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
3,0.09104066819716723,0.08529215113500531,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
4,0.08056572079658508,0.08289245214689983,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
5,0.08036692001116581,0.0821939188610302,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
6,0.08030083342495127,0.08175396433707034,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
7,0.0799019890717971,0.08159897401091758,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
8,0.07969205629112375,0.08149007054862012,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
9,0.07947232555120419,0.08151623497853118,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
10,0.07936818827675958,0.08085098578019088,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
11,0.07922631807816334,0.08088318333866891,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
12,0.07911901258760029,0.08025831645459272,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
13,0.0790864413874781,0.08017919832066203,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
14,0.07892210278500858,0.07932000933738237,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
15,0.07892075340207826,0.0797624850875876,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
16,0.07885192493852387,0.07934436980593071,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
17,0.07886697211836138,0.0804017951314369,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
18,0.0787984379209005,0.07912762069635176,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
19,0.07877300424962981,0.07943467753991652,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
20,0.07870544021965092,0.07916486539532629,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
21,0.07868883026461317,0.07864759987994527,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
22,0.07869096355051057,0.07866131112481771,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
23,0.07868128059766231,0.07894881998889902,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
24,0.07871207785912049,0.07843156368210075,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
25,0.07865780044315207,0.07837731441420116,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
26,0.078610510016099,0.0788931678352731,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
27,0.07861551260336852,0.0784611279207669,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
28,0.07864360676871406,0.07852862557668365,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
29,0.07857887695233028,0.07869097875075394,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
30,0.07859730605895703,0.07881228617402945,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
31,0.07859548168559359,0.07854208224609996,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
32,0.07864397560429369,0.07875522418638294,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
33,0.07861611017814049,0.0783758360180962,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
34,0.07851293199082725,0.07885072698419014,1.0,1.0,1.0,"[[178, 0], [0, 178]]",1.0,1.0
